Homologs_list	parentB-like content	hybrid content	parentA-like content
XP_018218859.1; YPL179W	XP_018218859.1		YPL179W
XP_018218854.1; YPL184C	XP_018218854.1		YPL184C
XP_018218851.1; YPL188W	XP_018218851.1		YPL188W
XP_018218848.1; YPL190C	XP_018218848.1		YPL190C
XP_018218847.1; YPL191C	XP_018218847.1		YPL191C
XP_018218844.1; YPL194W	XP_018218844.1		YPL194W
SPGP0L03390; YPL195W		SPGP0L03390	YPL195W
XP_018218843.1; YPL196W	XP_018218843.1		YPL196W
XP_018218839.1; YPL201C	XP_018218839.1		YPL201C
XP_018218837.1; YPL203W; YJL164C; XP_018221175.1	XP_018218837.1; XP_018221175.1		YPL203W; YJL164C
XP_018218836.1; YPL204W	XP_018218836.1		YPL204W
XP_018218834.1; YPL207W	XP_018218834.1		YPL207W
XP_018218832.1; YPL209C	XP_018218832.1		YPL209C
XP_018218830.1; YPL211W	XP_018218830.1		YPL211W
XP_018218829.1; YPL212C	XP_018218829.1		YPL212C
XP_018218827.1; YPL214C	XP_018218827.1		YPL214C
XP_018218824.1; YPL217C	XP_018218824.1		YPL217C
XP_018218823.1; YPL219W	XP_018218823.1		YPL219W
XP_018218822.1; XP_018222106.1; SPGP0R02200; YPL220W	XP_018218822.1; XP_018222106.1	SPGP0R02200	YPL220W
XP_018218821.1; YPL221W	XP_018218821.1		YPL221W
XP_018218816.1; YPL225W	XP_018218816.1		YPL225W
XP_018218815.1; YPL226W	XP_018218815.1		YPL226W
XP_018218814.1; YPL227C	XP_018218814.1		YPL227C
XP_018218813.1; YPL228W	XP_018218813.1		YPL228W
XP_018218810.1; YPL231W	XP_018218810.1		YPL231W
XP_018218808.1; YPL233W	XP_018218808.1		YPL233W
XP_018218807.1; YPL234C	XP_018218807.1		YPL234C
XP_018218806.1; YPL235W	XP_018218806.1		YPL235W
XP_018218804.1; YPL237W	XP_018218804.1		YPL237W
XP_018218803.1; YPL239W	XP_018218803.1		YPL239W
SPGP0L03810; XP_018220233.1; SPGP0AA00120; YMR186W	XP_018220233.1	SPGP0L03810; SPGP0AA00120	YMR186W
SPGP0L03830; YPL242C; SPGP0RR00100		SPGP0L03830; SPGP0RR00100	YPL242C
YGR087C; XP_018220559.1; YLR044C; XP_018220475.1; YLR134W; XP_018222297.1	XP_018220559.1; XP_018220475.1; XP_018222297.1		YGR087C; YLR044C; YLR134W
SPGP0EB00100; YAL068C; YDR542W; SPGP0CU00100; YHL046C; SPGP0IL00100; YEL049W; SPGP0MA00100; SPGP0BM00110; YPL282C; YLL025W; YFL020C		SPGP0EB00100; SPGP0CU00100; SPGP0IL00100; SPGP0MA00100; SPGP0BM00110	YAL068C; YDR542W; YHL046C; YEL049W; YPL282C; YLL025W; YFL020C
XP_018221137.1; YJL212C	XP_018221137.1		YJL212C
XP_018221139.1; YJL209W	XP_018221139.1		YJL209W
XP_018221141.1; YJL207C	XP_018221141.1		YJL207C
XP_018221142.1; YJL204C	XP_018221142.1		YJL204C
XP_018221144.1; YJL201W	XP_018221144.1		YJL201W
XP_018221145.1; YJL200C	XP_018221145.1		YJL200C
XP_018221146.1; YJL198W; YCR037C; SPGP0AG01010	XP_018221146.1	SPGP0AG01010	YJL198W; YCR037C
XP_018221150.1; YJL193W	XP_018221150.1		YJL193W
XP_018221151.1; YJL192C	XP_018221151.1		YJL192C
XP_018221152.1; XP_018223405.1; SPGP0AH00930; SPGP0N03100	XP_018221152.1; XP_018223405.1	SPGP0AH00930; SPGP0N03100	
XP_018221153.1; YJL190C	XP_018221153.1		YJL190C
XP_018221154.1; SPGP0N03080	XP_018221154.1	SPGP0N03080	
XP_018221156.1; YJL186W	XP_018221156.1		YJL186W
XP_018221161.1; YJL180C	XP_018221161.1		YJL180C
XP_018221162.1; YJL179W	XP_018221162.1		YJL179W
XP_018221164.1; YJL177W; XP_018220874.1; YKL180W	XP_018221164.1; XP_018220874.1		YJL177W; YKL180W
XP_018221165.1; YJL176C	XP_018221165.1		YJL176C
XP_018221168.1; YJL172W	XP_018221168.1		YJL172W
XP_018221169.1; YJL171C	XP_018221169.1		YJL171C
XP_018221171.1; YJL168C	XP_018221171.1		YJL168C
XP_018221172.1; YJL167W	XP_018221172.1		YJL167W
XP_018221173.1; YJL166W	XP_018221173.1		YJL166W
XP_018221174.1; YJL165C	XP_018221174.1		YJL165C
XP_018221177.1; YJL162C	XP_018221177.1		YJL162C
SPGP0M00550; YJL159W; YKL164C		SPGP0M00550	YJL159W; YKL164C
XP_018221180.1; YJL158C; XP_018220888.1; YKL163W	XP_018221180.1; XP_018220888.1		YJL158C; YKL163W
XP_018221183.1; YJL155C	XP_018221183.1		YJL155C
XP_018221187.1; YJL149W	XP_018221187.1		YJL149W
XP_018221188.1; YJL148W	XP_018221188.1		YJL148W
XP_018221190.1; YJL146W	XP_018221190.1		YJL146W
XP_018221191.1; YJL145W	XP_018221191.1		YJL145W
XP_018221193.1; YJL143W	XP_018221193.1		YJL143W
XP_018221194.1; YJL141C	XP_018221194.1		YJL141C
XP_018221195.1; YJL140W	XP_018221195.1		YJL140W
SPGP0M00730; XP_018221090.1; YKR059W; YJL138C	XP_018221090.1	SPGP0M00730	YKR059W; YJL138C
SPGP0M00750; XP_018221088.1; YKR057W; YJL136C	XP_018221088.1	SPGP0M00750	YKR057W; YJL136C
XP_018221200.1; YJL133C-A	XP_018221200.1		YJL133C-A
XP_018221201.1; YJL133W	XP_018221201.1		YJL133W
SPGP0M00790; YJL132W		SPGP0M00790	YJL132W
XP_018221202.1; YJL131C	XP_018221202.1		YJL131C
XP_018221203.1; YJL130C	XP_018221203.1		YJL130C
XP_018221204.1; YJL129C	XP_018221204.1		YJL129C
XP_018221205.1; YJL128C	XP_018221205.1		YJL128C
XP_018221206.1; YJL127C-B	XP_018221206.1		YJL127C-B
XP_018221209.1; YJL125C	XP_018221209.1		YJL125C
XP_018221217.1; YJL112W	XP_018221217.1		YJL112W
XP_018221218.1; YJL111W	XP_018221218.1		YJL111W
XP_018221220.1; YJL109C	XP_018221220.1		YJL109C
XP_018221221.1; YJL107C	XP_018221221.1		YJL107C
XP_018221222.1; YJL106W	XP_018221222.1		YJL106W
XP_018221224.1; YJL104W	XP_018221224.1		YJL104W
SPGP0Mtrna29R; DI49_2918; DI49_2410; SPGP0Ctrna5R; SPGP0AMtrna39R; SPGP0ADtrna35R; SPGP0Btrna2R; SPGP0Utrna22R; SPGP0Atrna18R; SPGP0Qtrna11R; SPGP0Ptrna14R; SPGP0Otrna16R	DI49_2918; DI49_2410	SPGP0Mtrna29R; SPGP0Ctrna5R; SPGP0AMtrna39R; SPGP0ADtrna35R; SPGP0Btrna2R; SPGP0Utrna22R; SPGP0Atrna18R; SPGP0Qtrna11R; SPGP0Ptrna14R; SPGP0Otrna16R	
XP_018221227.1; YJL101C	XP_018221227.1		YJL101C
XP_018221230.1; YJL098W	XP_018221230.1		YJL098W
XP_018221233.1; YJL095W	XP_018221233.1		YJL095W
XP_018221236.1; YJL092W	XP_018221236.1		YJL092W
XP_018221237.1; YJL091C	XP_018221237.1		YJL091C
XP_018221238.1; YJL090C	XP_018221238.1		YJL090C
XP_018221239.1; YJL089W	XP_018221239.1		YJL089W
XP_018221241.1; YJL087C	XP_018221241.1		YJL087C
XP_018221242.1; YJL085W	XP_018221242.1		YJL085W
SPGP0M01230; SPGP0N02150		SPGP0M01230; SPGP0N02150	
XP_018221243.1; YJL083W	XP_018221243.1		YJL083W
XP_018221244.1; YJL082W	XP_018221244.1		YJL082W
XP_018221246.1; YJL080C	XP_018221246.1		YJL080C
XP_018221247.1; YJL079C	XP_018221247.1		YJL079C
XP_018221252.1; YJL072C	XP_018221252.1		YJL072C
XP_018221253.1; YJL071W	XP_018221253.1		YJL071W
XP_018221254.1; YJL070C	XP_018221254.1		YJL070C
XP_018221256.1; YJL068C	XP_018221256.1		YJL068C
XP_018221258.1; YJL065C	XP_018221258.1		YJL065C
XP_018221260.1; YJL062W-A	XP_018221260.1		YJL062W-A
XP_018221261.1; YJL062W	XP_018221261.1		YJL062W
XP_018221263.1; YJL060W	XP_018221263.1		YJL060W
XP_018221264.1; YJL059W	XP_018221264.1		YJL059W
XP_018221265.1; YJL058C	XP_018221265.1		YJL058C
XP_018221269.1; YJL054W	XP_018221269.1		YJL054W
XP_018221271.1; YJL052W; XP_018222396.1; XP_018221321.1; YJR009C; YGR192C	XP_018221271.1; XP_018222396.1; XP_018221321.1		YJL052W; YJR009C; YGR192C
XP_018221272.1; YJL051W	XP_018221272.1		YJL051W
XP_018221273.1; YJL050W	XP_018221273.1		YJL050W
SPGP0Mtrna14Y; DI49_2382; SPGP0Ftrna12Y; SPGP0AFtrna10Y; SPGP0AFtrna9Y; SPGP0Btrna1Y; SPGP0Otrna7Y; SPGP0Mtrna15Y; SPGP0Dtrna11Y; SPGP0Atrna8Y; SPGP0Ntrna5Y; SPGP0Gtrna17Y; SPGP0Gtrna16Y; SPGP0AEtrna4Y; SPGP0AEtrna3Y; SPGP0HYtrna2Y; SPGP0Ntrna6Y	DI49_2382	SPGP0Mtrna14Y; SPGP0Ftrna12Y; SPGP0AFtrna10Y; SPGP0AFtrna9Y; SPGP0Btrna1Y; SPGP0Otrna7Y; SPGP0Mtrna15Y; SPGP0Dtrna11Y; SPGP0Atrna8Y; SPGP0Ntrna5Y; SPGP0Gtrna17Y; SPGP0Gtrna16Y; SPGP0AEtrna4Y; SPGP0AEtrna3Y; SPGP0HYtrna2Y; SPGP0Ntrna6Y	
XP_018221281.1; YJL042W	XP_018221281.1		YJL042W
XP_018221283.1; YJL039C	XP_018221283.1		YJL039C
SPGP0Mtrna25V; DI49_4248; SPGP0Gtrna28V; SPGP0Gtrna27V; SPGP0Gtrna26V; SPGP0Ftrna22V; SPGP0Ftrna21V; SPGP0Ftrna20V; SPGP0Etrna31V; SPGP0Ctrna3V; SPGP0AMtrna35V; SPGP0AKtrna24V; SPGP0Ztrna19V; SPGP0Ztrna18V; SPGP0Ytrna15V; SPGP0Xtrna11V; SPGP0Vtrna7V; SPGP0Ttrna23V; SPGP0Qtrna6V; SPGP0Qtrna5V; SPGP0Ptrna8V; SPGP0Ntrna4V; SPGP0Etrna32V; SPGP0Dtrna17V; SPGP0Rtrna10V; SPGP0Ptrna9V; SPGP0Htrna29V	DI49_4248	SPGP0Mtrna25V; SPGP0Gtrna28V; SPGP0Gtrna27V; SPGP0Gtrna26V; SPGP0Ftrna22V; SPGP0Ftrna21V; SPGP0Ftrna20V; SPGP0Etrna31V; SPGP0Ctrna3V; SPGP0AMtrna35V; SPGP0AKtrna24V; SPGP0Ztrna19V; SPGP0Ztrna18V; SPGP0Ytrna15V; SPGP0Xtrna11V; SPGP0Vtrna7V; SPGP0Ttrna23V; SPGP0Qtrna6V; SPGP0Qtrna5V; SPGP0Ptrna8V; SPGP0Ntrna4V; SPGP0Etrna32V; SPGP0Dtrna17V; SPGP0Rtrna10V; SPGP0Ptrna9V; SPGP0Htrna29V	
XP_018221286.1; YJL036W	XP_018221286.1		YJL036W
XP_018221288.1; YJL034W; XP_018220412.1; XP_018222771.1; YER103W	XP_018221288.1; XP_018220412.1; XP_018222771.1		YJL034W; YER103W
XP_018221289.1; YJL033W	XP_018221289.1		YJL033W
XP_018221291.1; YJL030W	XP_018221291.1		YJL030W
SPGP0Mtrna14M; DI49_4243; SPGP0Ftrna13M; SPGP0Btrna1M; SPGP0Mtrna15M; YJL007C; SPGP0AUtrna2M; SPGP0Atrna9M; SPGP0Ntrna6M; SPGP0Ntrna5M	DI49_4243	SPGP0Mtrna14M; SPGP0Ftrna13M; SPGP0Btrna1M; SPGP0Mtrna15M; SPGP0AUtrna2M; SPGP0Atrna9M; SPGP0Ntrna6M; SPGP0Ntrna5M	YJL007C
XP_018221294.1; YJL026W	XP_018221294.1		YJL026W
XP_018221296.1; YJL024C	XP_018221296.1		YJL024C
XP_018221299.1; YJL019W	XP_018221299.1		YJL019W
XP_018221301.1; YJL014W	XP_018221301.1		YJL014W
XP_018221303.1; YJL012C	XP_018221303.1		YJL012C
SPGP0Mtrna9W; DI49_3006; SPGP0Etrna12W; DI49_5211; SPGP0Ptrna3W; DI49_2157; SPGP0Gtrna10W; SPGP0AStrna6W; SPGP0Ztrna7W; SPGP0Ytrna5W; SPGP0Rtrna4W; SPGP0Ntrna1W	DI49_3006; DI49_5211; DI49_2157	SPGP0Mtrna9W; SPGP0Etrna12W; SPGP0Ptrna3W; SPGP0Gtrna10W; SPGP0AStrna6W; SPGP0Ztrna7W; SPGP0Ytrna5W; SPGP0Rtrna4W; SPGP0Ntrna1W	
XP_018221305.1; YJL010C	XP_018221305.1		YJL010C
XP_018221306.1; YJL008C	XP_018221306.1		YJL008C
XP_018221308.1; YJL005W	XP_018221308.1		YJL005W
SPGP0M01930; YJL001W		SPGP0M01930	YJL001W
XP_018221315.1; YJR004C	XP_018221315.1		YJR004C
XP_018221316.1; YJR005W	XP_018221316.1		YJR005W
XP_018221319.1; YJR007W	XP_018221319.1		YJR007W
XP_018221320.1; YJR008W	XP_018221320.1		YJR008W
XP_018221322.1; YJR010W	XP_018221322.1		YJR010W
XP_018221324.1; YJR011C	XP_018221324.1		YJR011C
XP_018221327.1; YJR014W	XP_018221327.1		YJR014W
XP_018221328.1; YJR016C	XP_018221328.1		YJR016C
SPGP0M02140; YJR021C		SPGP0M02140	YJR021C
XP_018221336.1; YJR032W	XP_018221336.1		YJR032W
XP_018221337.1; YJR033C	XP_018221337.1		YJR033C
XP_018221340.1; YJR036C	XP_018221340.1		YJR036C
XP_018221341.1; YJR039W	XP_018221341.1		YJR039W
XP_018221342.1; YJR040W	XP_018221342.1		YJR040W
XP_018221344.1; YJR042W	XP_018221344.1		YJR042W
XP_018221347.1; YJR045C; XP_018222634.1; XP_018224103.1; YEL030W	XP_018221347.1; XP_018222634.1; XP_018224103.1		YJR045C; YEL030W
XP_018221348.1; YJR046W	XP_018221348.1		YJR046W
XP_018221349.1; XP_018222631.1; YJR047C; YEL034W	XP_018221349.1; XP_018222631.1		YJR047C; YEL034W
XP_018221352.1; YJR050W	XP_018221352.1		YJR050W
XP_018221354.1; YJR052W	XP_018221354.1		YJR052W
XP_018221356.1; YJR054W	XP_018221356.1		YJR054W
SPGP0Mtrna32R; DI49_3064	DI49_3064	SPGP0Mtrna32R	
XP_018221362.1; YJR059W	XP_018221362.1		YJR059W
XP_018221364.1; YJR061W	XP_018221364.1		YJR061W
XP_018221365.1; YJR062C	XP_018221365.1		YJR062C
XP_018221367.1; YJR064W	XP_018221367.1		YJR064W
XP_018221368.1; YJR065C	XP_018221368.1		YJR065C
XP_018221369.1; YJR066W; XP_018220855.1; YKL203C	XP_018221369.1; XP_018220855.1		YJR066W; YKL203C
XP_018221371.1; YJR068W	XP_018221371.1		YJR068W
XP_018221372.1; YJR069C	XP_018221372.1		YJR069C
XP_018221373.1; YJR070C	XP_018221373.1		YJR070C
XP_018221376.1; YJR075W	XP_018221376.1		YJR075W
XP_018221377.1; YJR076C	XP_018221377.1		YJR076C
XP_018221378.1; YJR077C	XP_018221378.1		YJR077C
XP_018221380.1; YJR080C	XP_018221380.1		YJR080C
XP_018221386.1; YJR088C	XP_018221386.1		YJR088C
XP_018221388.1; YJR090C	XP_018221388.1		YJR090C
XP_018221389.1; YJR091C	XP_018221389.1		YJR091C
XP_018221391.1; YJR093C	XP_018221391.1		YJR093C
XP_018221394.1; YJR095W	XP_018221394.1		YJR095W
XP_018221397.1; YJR098C	XP_018221397.1		YJR098C
SPGP0Mtrna33L; DI49_3110; SPGP0Ttrna29L; SPGP0Ntrna13L; SPGP0Ctrna11L; SPGP0Ctrna9L; DI49_3806	DI49_3110; DI49_3806	SPGP0Mtrna33L; SPGP0Ttrna29L; SPGP0Ntrna13L; SPGP0Ctrna11L; SPGP0Ctrna9L	
XP_018221403.1; YJR104C	XP_018221403.1		YJR104C
XP_018221404.1; YJR105W	XP_018221404.1		YJR105W
XP_018221406.1; YJR107W	XP_018221406.1		YJR107W
XP_018221408.1; YJR109C	XP_018221408.1		YJR109C
XP_018221409.1; YJR110W	XP_018221409.1		YJR110W
XP_018221410.1; YJR111C	XP_018221410.1		YJR111C
XP_018221416.1; YJR117W	XP_018221416.1		YJR117W
XP_018221417.1; YJR118C	XP_018221417.1		YJR118C
XP_018221419.1; YJR121W	XP_018221419.1		YJR121W
XP_018221421.1; YJR123W	XP_018221421.1		YJR123W
XP_018221422.1; YJR124C	XP_018221422.1		YJR124C
XP_018221423.1; YJR125C	XP_018221423.1		YJR125C
XP_018221425.1; YJR127C	XP_018221425.1		YJR127C
XP_018221427.1; YJR130C	XP_018221427.1		YJR130C
XP_018221429.1; YJR132W	XP_018221429.1		YJR132W
XP_018221430.1; YJR133W	XP_018221430.1		YJR133W
XP_018221431.1; YJR134C	XP_018221431.1		YJR134C
XP_018221434.1; YJR136C	XP_018221434.1		YJR136C
XP_018221435.1; YJR137C	XP_018221435.1		YJR137C
XP_018221436.1; YJR138W	XP_018221436.1		YJR138W
XP_018221437.1; YJR139C	XP_018221437.1		YJR139C
XP_018221441.1; YJR143C	XP_018221441.1		YJR143C
SPGP0M03290; XP_018221981.1; SPGP0AP00480; YJR145C	XP_018221981.1	SPGP0M03290; SPGP0AP00480	YJR145C
XP_018221446.1; SPGP0M03360	XP_018221446.1	SPGP0M03360	
XP_018221450.1; XP_018219936.1	XP_018221450.1; XP_018219936.1		
SPGP0M03440; XP_018221991.1; SPGP0Q02650	XP_018221991.1	SPGP0M03440; SPGP0Q02650	
SPGP0M03450; SPGP0AQ00540; SPGP0Q02660		SPGP0M03450; SPGP0AQ00540; SPGP0Q02660	
XP_018221455.1; SPGP0BG00110	XP_018221455.1	SPGP0BG00110	
SPGP0EP00100; YHL007C; XP_018219231.1	XP_018219231.1	SPGP0EP00100	YHL007C
SPGP0ER00100; YOL156W; SPGP0FF00100		SPGP0ER00100; SPGP0FF00100	YOL156W
SPGP0ES00100; XP_018221878.1; XP_018221877.1	XP_018221878.1; XP_018221877.1	SPGP0ES00100	
SPGP0N00100; YHR211W; YFL051C; SPGP0AP00560; SPGP0AB01590; SPGP0AP00570; XP_018221131.1; XP_018222490.1; XP_018224123.1; XP_018220388.1	XP_018221131.1; XP_018222490.1; XP_018224123.1; XP_018220388.1	SPGP0N00100; SPGP0AP00560; SPGP0AB01590; SPGP0AP00570	YHR211W; YFL051C
YJR048W; XP_018222627.1; YEL039C	XP_018222627.1		YJR048W; YEL039C
YJL214W; SPGP0O02530; YDR342C; XP_018220510.1; SPGP0F02950	XP_018220510.1	SPGP0O02530; SPGP0F02950	YJL214W; YDR342C
YJL217W; XP_018223323.1	XP_018223323.1		YJL217W
YJL221C; YGR287C; SPGP0GV00100; SPGP0KK00100; SPGP0E00100		SPGP0GV00100; SPGP0KK00100; SPGP0E00100	YJL221C; YGR287C
YOL159C-A; XP_018220841.1	XP_018220841.1		YOL159C-A
SPGP0EVtrna4S; DI49_2374; SPGP0Ctrna10S; SPGP0AFtrna30S; SPGP0AEtrna8S; SPGP0Btrna2S; SPGP0Ttrna36S; SPGP0Atrna21S; SPGP0Otrna17S	DI49_2374	SPGP0EVtrna4S; SPGP0Ctrna10S; SPGP0AFtrna30S; SPGP0AEtrna8S; SPGP0Btrna2S; SPGP0Ttrna36S; SPGP0Atrna21S; SPGP0Otrna17S	
YBR298C; SPGP0AD00100; SPGP0BF00120		SPGP0AD00100; SPGP0BF00120	YBR298C
SPGP0O00100; YGR289C; SPGP0E00120		SPGP0O00100; SPGP0E00120	YGR289C
XP_018221648.1; YOL151W	XP_018221648.1		YOL151W
XP_018221649.1; YOL149W	XP_018221649.1		YOL149W
XP_018221650.1; YOL148C	XP_018221650.1		YOL148C
XP_018221651.1; YOL147C	XP_018221651.1		YOL147C
XP_018221653.1; YOL145C	XP_018221653.1		YOL145C
XP_018221655.1; YOL143C	XP_018221655.1		YOL143C
XP_018221656.1; YOL142W	XP_018221656.1		YOL142W
XP_018221658.1; YOL140W	XP_018221658.1		YOL140W
XP_018221659.1; YOL139C	XP_018221659.1		YOL139C
XP_018221662.1; YOL136C	XP_018221662.1		YOL136C
XP_018221665.1; YOL132W	XP_018221665.1		YOL132W
XP_018221667.1; XP_018222491.1; YOL130W; YFL050C	XP_018221667.1; XP_018222491.1		YOL130W; YFL050C
XP_018221668.1; YOL129W	XP_018221668.1		YOL129W
XP_018221669.1; YOL128C	XP_018221669.1		YOL128C
XP_018221670.1; YOL127W	XP_018221670.1		YOL127W
XP_018221671.1; YOL126C	XP_018221671.1		YOL126C
XP_018221673.1; YOL124C	XP_018221673.1		YOL124C
XP_018221674.1; YOL123W	XP_018221674.1		YOL123W
XP_018221675.1; YOL122C	XP_018221675.1		YOL122C
XP_018221677.1; YOL119C	XP_018221677.1		YOL119C
XP_018221680.1; YOL115W	XP_018221680.1		YOL115W
XP_018221681.1; YOL114C	XP_018221681.1		YOL114C
XP_018221685.1; YOL110W	XP_018221685.1		YOL110W
XP_018221692.1; YOL102C	XP_018221692.1		YOL102C
XP_018221693.1; YOL101C	XP_018221693.1		YOL101C
XP_018221694.1; YOL100W	XP_018221694.1		YOL100W
XP_018221695.1; YOL098C	XP_018221695.1		YOL098C
XP_018221696.1; YOL097C	XP_018221696.1		YOL097C
XP_018221697.1; YOL096C	XP_018221697.1		YOL096C
XP_018221698.1; YOL095C	XP_018221698.1		YOL095C
XP_018221699.1; YOL094C	XP_018221699.1		YOL094C
XP_018221702.1; YOL091W	XP_018221702.1		YOL091W
XP_018221703.1; YOL090W	XP_018221703.1		YOL090W
XP_018221704.1; YOL089C	XP_018221704.1		YOL089C
XP_018221706.1; YOL087C	XP_018221706.1		YOL087C
XP_018221708.1; YOL086C; YMR303C	XP_018221708.1		YOL086C; YMR303C
XP_018221712.1; YOL081W	XP_018221712.1		YOL081W
XP_018221714.1; YOL078W	XP_018221714.1		YOL078W
XP_018221717.1; YOL076W	XP_018221717.1		YOL076W
XP_018221718.1; YOL075C	XP_018221718.1		YOL075C
XP_018221720.1; YOL072W	XP_018221720.1		YOL072W
XP_018221723.1; YOL069W	XP_018221723.1		YOL069W
XP_018221724.1; YOL068C	XP_018221724.1		YOL068C
XP_018221728.1; YOL064C	XP_018221728.1		YOL064C
XP_018221730.1; YOL062C	XP_018221730.1		YOL062C
XP_018221731.1; YOL061W	XP_018221731.1		YOL061W
XP_018221732.1; YOL060C	XP_018221732.1		YOL060C
XP_018221733.1; YOL059W	XP_018221733.1		YOL059W
XP_018221734.1; YOL058W	XP_018221734.1		YOL058W
XP_018221736.1; YOL055C; YPL258C	XP_018221736.1		YOL055C; YPL258C
XP_018221738.1; YOL053W	XP_018221738.1		YOL053W
XP_018221740.1; YOL052C	XP_018221740.1		YOL052C
XP_018221741.1; YOL051W	XP_018221741.1		YOL051W
XP_018221743.1; YOL045W; YAL017W	XP_018221743.1		YOL045W; YAL017W
XP_018221748.1; YOL040C	XP_018221748.1		YOL040C
XP_018221749.1; YOL039W; XP_018223002.1; YLR340W; XP_018220732.1	XP_018221749.1; XP_018223002.1; XP_018220732.1		YOL039W; YLR340W
XP_018221752.1; YOL034W	XP_018221752.1		YOL034W
XP_018221754.1; YOL032W	XP_018221754.1		YOL032W
XP_018221756.1; YOL030W	XP_018221756.1		YOL030W
XP_018221758.1; YOL027C	XP_018221758.1		YOL027C
XP_018221762.1; YOL023W	XP_018221762.1		YOL023W
XP_018221764.1; YOL021C	XP_018221764.1		YOL021C
XP_018221769.1; YOL016C	XP_018221769.1		YOL016C
XP_018221772.1; YOL013C	XP_018221772.1		YOL013C
XP_018221773.1; YOL012C	XP_018221773.1		YOL012C
XP_018221774.1; YOL011W	XP_018221774.1		YOL011W
XP_018221776.1; YOL009C	XP_018221776.1		YOL009C
XP_018221781.1; YOL004W	XP_018221781.1		YOL004W
XP_018221782.1; YOL003C	XP_018221782.1		YOL003C
XP_018221783.1; YOL002C	XP_018221783.1		YOL002C
XP_018221785.1; YOR001W	XP_018221785.1		YOR001W
XP_018221786.1; YOR002W	XP_018221786.1		YOR002W
XP_018221787.1; YOR003W	XP_018221787.1		YOR003W
XP_018221789.1; YOR005C	XP_018221789.1		YOR005C
XP_018221790.1; YOR006C	XP_018221790.1		YOR006C
XP_018221791.1; YOR007C	XP_018221791.1		YOR007C
XP_018221793.1; YOR009W; XP_018221794.1; XP_018222674.1; YOR010C; YER011W; XP_018220947.1	XP_018221793.1; XP_018221794.1; XP_018222674.1; XP_018220947.1		YOR009W; YOR010C; YER011W
XP_018221795.1; SPGP0D03030	XP_018221795.1	SPGP0D03030	
XP_018221797.1; YOR014W	XP_018221797.1		YOR014W
XP_018221798.1; YOR016C	XP_018221798.1		YOR016C
XP_018221799.1; YOR017W	XP_018221799.1		YOR017W
XP_018221801.1; YHR015W	XP_018221801.1		YHR015W
XP_018221803.1; YHR017W	XP_018221803.1		YHR017W
XP_018221804.1; YHR018C	XP_018221804.1		YHR018C
XP_018221805.1; YHR019C	XP_018221805.1		YHR019C
XP_018221806.1; YHR020W	XP_018221806.1		YHR020W
SPGP0O01810; YHR021C		SPGP0O01810	YHR021C
XP_018221807.1; YHR023W	XP_018221807.1		YHR023W
XP_018221809.1; YHR025W	XP_018221809.1		YHR025W
XP_018221810.1; YHR026W	XP_018221810.1		YHR026W
XP_018221811.1; YHR027C	XP_018221811.1		YHR027C
XP_018221812.1; YHR028C	XP_018221812.1		YHR028C
XP_018221813.1; XP_018219997.1	XP_018221813.1; XP_018219997.1		
XP_018221814.1; YHR030C	XP_018221814.1		YHR030C
XP_018221816.1; YHR032W	XP_018221816.1		YHR032W
XP_018221817.1; YHR033W	XP_018221817.1		YHR033W
XP_018221820.1; YHR036W	XP_018221820.1		YHR036W
XP_018221821.1; YHR037W	XP_018221821.1		YHR037W
XP_018221823.1; YHR039C	XP_018221823.1		YHR039C
SPGP0O01990; YHR039C-A		SPGP0O01990	YHR039C-A
XP_018221824.1; YHR040W	XP_018221824.1		YHR040W
XP_018221826.1; YHR042W	XP_018221826.1		YHR042W
XP_018221830.1; YHR047C	XP_018221830.1		YHR047C
XP_018221834.1; YHR051W	XP_018221834.1		YHR051W
XP_018221835.1; YHR052W	XP_018221835.1		YHR052W
XP_018221837.1; YHR056C	XP_018221837.1		YHR056C
XP_018221840.1; YHR059W	XP_018221840.1		YHR059W
XP_018221844.1; YHR063C	XP_018221844.1		YHR063C
XP_018221845.1; YHR064C	XP_018221845.1		YHR064C
XP_018221846.1; YHR065C	XP_018221846.1		YHR065C
XP_018221847.1; XP_018223854.1	XP_018221847.1; XP_018223854.1		
XP_018221849.1; YHR068W	XP_018221849.1		YHR068W
XP_018221850.1; YHR069C	XP_018221850.1		YHR069C
XP_018221856.1; YHR074W	XP_018221856.1		YHR074W
XP_018221857.1; YHR075C	XP_018221857.1		YHR075C
XP_018221860.1; YHR077C	XP_018221860.1		YHR077C
XP_018221862.1; YHR079C	XP_018221862.1		YHR079C
XP_018221866.1; YHR082C	XP_018221866.1		YHR082C
XP_018221868.1; YHR084W	XP_018221868.1		YHR084W
XP_018221870.1; YHR086W	XP_018221870.1		YHR086W
XP_018221871.1; YHR087W	XP_018221871.1		YHR087W
XP_018221873.1; YHR089C	XP_018221873.1		YHR089C
XP_018221874.1; YHR090C	XP_018221874.1		YHR090C
SPGP0O02520; YHR092C; SPGP0A01900; YDR345C; YHR094C; YLR081W; YMR011W		SPGP0O02520; SPGP0A01900	YHR092C; YDR345C; YHR094C; YLR081W; YMR011W
XP_018221880.1; YHR098C	XP_018221880.1		YHR098C
XP_018221881.1; YHR099W	XP_018221881.1		YHR099W
XP_018221884.1; YHR102W	XP_018221884.1		YHR102W
XP_018221889.1; YHR107C	XP_018221889.1		YHR107C
